gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,grade,math_status,lunch_short,score_spread,rank_dense,rank_average,rank_first,gender_num,race_num,edu_type,lunch_num,prep_num
male,group e,associate's degree,standard,completed,81,81,79,80.33333333333333,B,pass,standard,2,53.0,190.5,187.0,m,e,degree,standard,comp
female,group d,associate's degree,standard,none,74,81,83,79.33333333333333,C,pass,standard,9,56.0,210.5,207.0,f,d,degree,standard,none
female,group d,some high school,free/reduced,none,50,64,59,57.666666666666664,F,fail,free,14,121.0,759.5,757.0,f,d,school,free,none
female,group d,associate's degree,free/reduced,completed,75,90,88,84.33333333333333,B,pass,free,15,41.0,121.5,121.0,f,d,degree,free,comp
male,group b,associate's degree,free/reduced,none,57,56,57,56.666666666666664,F,fail,free,1,124.0,777.5,776.0,m,b,degree,free,none
male,group c,associate's degree,free/reduced,none,55,61,54,56.666666666666664,F,fail,free,7,124.0,777.5,777.0,m,c,degree,free,none
female,group c,associate's degree,standard,none,58,73,68,66.33333333333333,D,fail,standard,15,95.0,559.0,557.0,f,c,degree,standard,none
female,group b,associate's degree,standard,none,53,58,65,58.666666666666664,F,fail,standard,12,118.0,740.0,736.0,f,b,degree,standard,none
male,group b,some college,free/reduced,completed,59,65,66,63.333333333333336,D,fail,free,7,104.0,643.0,641.0,m,b,college,free,comp
female,group e,associate's degree,free/reduced,none,50,56,54,53.333333333333336,F,fail,free,6,134.0,838.5,837.0,f,e,degree,free,none
male,group b,associate's degree,standard,none,65,54,57,58.666666666666664,F,pass,standard,11,118.0,740.0,737.0,m,b,degree,standard,none
female,group a,associate's degree,standard,completed,55,65,62,60.666666666666664,D,fail,standard,10,112.0,696.0,693.0,f,a,degree,standard,comp
female,group c,high school,standard,none,66,71,76,71.0,C,pass,standard,10,81.0,429.0,424.0,f,c,school,standard,none
female,group d,associate's degree,free/reduced,completed,57,74,76,69.0,D,fail,free,19,87.0,480.5,476.0,f,d,degree,free,comp
male,group c,high school,standard,completed,82,84,82,82.66666666666667,B,pass,standard,2,46.0,151.5,149.0,m,c,school,standard,comp
male,group e,some college,standard,none,53,55,48,52.0,F,fail,standard,7,138.0,857.0,855.0,m,e,college,standard,none
male,group e,associate's degree,free/reduced,completed,77,69,68,71.33333333333333,C,pass,free,9,80.0,417.5,412.0,m,e,degree,free,comp
male,group c,some college,standard,none,53,44,42,46.333333333333336,F,fail,standard,11,155.0,936.0,934.0,m,c,college,standard,none
male,group d,high school,standard,none,88,78,75,80.33333333333333,B,pass,standard,13,53.0,190.5,188.0,m,d,school,standard,none
female,group c,some high school,free/reduced,completed,71,84,87,80.66666666666667,B,pass,free,16,52.0,183.0,180.0,f,c,school,free,comp
female,group c,high school,free/reduced,none,33,41,43,39.0,F,fail,free,10,174.0,975.5,975.0,f,c,school,free,none
female,group e,associate's degree,standard,completed,82,85,86,84.33333333333333,B,pass,standard,4,41.0,121.5,122.0,f,e,degree,standard,comp
male,group d,associate's degree,standard,none,52,55,49,52.0,F,fail,standard,6,138.0,857.0,856.0,m,d,degree,standard,none
male,group d,some college,standard,completed,58,59,58,58.333333333333336,F,fail,standard,1,119.0,749.0,745.0,m,d,college,standard,comp
female,group c,some high school,free/reduced,none,0,17,10,9.0,F,fail,free,17,194.0,1000.0,1000.0,f,c,school,free,none
male,group e,bachelor's degree,free/reduced,completed,79,74,72,75.0,C,pass,free,7,69.0,319.0,315.0,m,e,degree,free,comp
male,group a,some high school,free/reduced,none,39,39,34,37.333333333333336,F,fail,free,5,179.0,982.0,982.0,m,a,school,free,none
male,group a,associate's degree,free/reduced,none,62,61,55,59.333333333333336,F,pass,free,7,116.0,723.5,722.0,m,a,degree,free,none
female,group c,associate's degree,standard,none,69,80,71,73.33333333333333,C,pass,standard,11,74.0,361.0,357.0,f,c,degree,standard,none
female,group d,some high school,standard,none,59,58,59,58.666666666666664,F,fail,standard,1,118.0,740.0,738.0,f,d,school,standard,none
male,group b,some high school,standard,none,67,64,61,64.0,D,pass,standard,6,102.0,627.0,623.0,m,b,school,standard,none
male,group d,some high school,free/reduced,none,45,37,37,39.666666666666664,F,fail,free,8,172.0,972.0,971.0,m,d,school,free,none
female,group c,some college,standard,none,60,72,74,68.66666666666667,D,pass,standard,14,88.0,492.5,487.0,f,c,college,standard,none
male,group b,associate's degree,free/reduced,none,61,58,56,58.333333333333336,F,pass,free,5,119.0,749.0,746.0,m,b,degree,free,none
female,group c,associate's degree,standard,none,39,64,57,53.333333333333336,F,fail,standard,25,134.0,838.5,838.0,f,c,degree,standard,none
female,group d,some college,free/reduced,completed,58,63,73,64.66666666666667,D,fail,free,15,100.0,607.0,602.0,f,d,college,free,comp
male,group d,some college,standard,completed,63,55,63,60.333333333333336,D,pass,standard,8,113.0,703.5,700.0,m,d,college,standard,comp
female,group a,associate's degree,free/reduced,none,41,51,48,46.666666666666664,F,fail,free,10,154.0,931.5,930.0,f,a,degree,free,none
male,group c,some high school,free/reduced,none,61,57,56,58.0,F,pass,free,5,120.0,754.5,754.0,m,c,school,free,none
male,group c,some high school,standard,none,49,49,41,46.333333333333336,F,fail,standard,8,155.0,936.0,935.0,m,c,school,standard,none
male,group b,associate's degree,free/reduced,none,44,41,38,41.0,F,fail,free,6,169.0,965.5,965.0,m,b,degree,free,none
male,group e,some high school,standard,none,30,26,22,26.0,F,fail,standard,8,190.0,995.5,996.0,m,e,school,standard,none
male,group a,bachelor's degree,standard,completed,80,78,81,79.66666666666667,C,pass,standard,3,55.0,202.5,199.0,m,a,degree,standard,comp
female,group d,some high school,standard,completed,61,74,72,69.0,D,pass,standard,13,87.0,480.5,477.0,f,d,school,standard,comp
female,group e,master's degree,standard,none,62,68,68,66.0,D,pass,standard,6,96.0,568.5,563.0,f,e,degree,standard,none
female,group b,associate's degree,standard,none,47,49,50,48.666666666666664,F,fail,standard,3,148.0,912.5,911.0,f,b,degree,standard,none
male,group b,high school,free/reduced,none,49,45,45,46.333333333333336,F,fail,free,4,155.0,936.0,936.0,m,b,school,free,none
male,group a,some college,free/reduced,completed,50,47,54,50.333333333333336,F,fail,free,7,143.0,887.5,885.0,m,a,college,free,comp
male,group e,associate's degree,standard,none,72,64,63,66.33333333333333,D,pass,standard,9,95.0,559.0,558.0,m,e,degree,standard,none
male,group d,high school,free/reduced,none,42,39,34,38.333333333333336,F,fail,free,8,176.0,978.5,978.0,m,d,school,free,none
female,group c,some college,standard,none,73,80,82,78.33333333333333,C,pass,standard,9,59.0,235.0,231.0,f,c,college,standard,none
female,group c,some college,free/reduced,none,76,83,88,82.33333333333333,B,pass,free,12,47.0,160.0,156.0,f,c,college,free,none
female,group d,associate's degree,standard,none,71,71,74,72.0,C,pass,standard,3,78.0,399.0,395.0,f,d,degree,standard,none
female,group a,some college,standard,none,58,70,67,65.0,D,fail,standard,12,99.0,597.0,594.0,f,a,college,standard,none
female,group d,some high school,standard,none,73,86,82,80.33333333333333,B,pass,standard,13,53.0,190.5,189.0,f,d,school,standard,none
female,group c,bachelor's degree,standard,none,65,72,74,70.33333333333333,C,pass,standard,9,83.0,443.5,441.0,f,c,degree,standard,none
male,group c,high school,free/reduced,none,27,34,36,32.333333333333336,F,fail,free,9,182.0,986.0,986.0,m,c,school,free,none
male,group c,high school,standard,none,71,79,71,73.66666666666667,C,pass,standard,8,73.0,353.0,351.0,m,c,school,standard,none
male,group c,associate's degree,free/reduced,completed,43,45,50,46.0,F,fail,free,7,156.0,940.0,939.0,m,c,degree,free,comp
female,group b,some college,standard,none,79,86,92,85.66666666666667,B,pass,standard,13,37.0,105.5,103.0,f,b,college,standard,none
male,group c,associate's degree,free/reduced,completed,78,81,82,80.33333333333333,B,pass,free,4,53.0,190.5,190.0,m,c,degree,free,comp
male,group b,some high school,standard,completed,65,66,62,64.33333333333333,D,pass,standard,4,101.0,617.5,614.0,m,b,school,standard,comp
female,group e,some college,standard,completed,63,72,70,68.33333333333333,D,pass,standard,9,89.0,505.0,500.0,f,e,college,standard,comp
female,group d,some college,free/reduced,none,58,67,62,62.333333333333336,D,fail,free,9,107.0,660.5,657.0,f,d,college,free,none
female,group d,bachelor's degree,standard,none,65,67,62,64.66666666666667,D,pass,standard,5,100.0,607.0,603.0,f,d,degree,standard,none
male,group b,some college,standard,none,79,67,67,71.0,C,pass,standard,12,81.0,429.0,425.0,m,b,college,standard,none
male,group d,bachelor's degree,standard,completed,68,74,74,72.0,C,pass,standard,6,78.0,399.0,396.0,m,d,degree,standard,comp
female,group d,associate's degree,standard,none,85,91,89,88.33333333333333,B,pass,standard,6,29.0,71.0,69.0,f,d,degree,standard,none
male,group b,high school,standard,completed,60,44,47,50.333333333333336,F,pass,standard,16,143.0,887.5,886.0,m,b,school,standard,comp
male,group c,some college,standard,completed,98,86,90,91.33333333333333,A,pass,standard,12,20.0,44.0,43.0,m,c,college,standard,comp
female,group c,some college,standard,none,58,67,72,65.66666666666667,D,fail,standard,14,97.0,579.5,576.0,f,c,college,standard,none
female,group d,master's degree,standard,none,87,100,100,95.66666666666667,A,pass,standard,13,11.0,21.5,21.0,f,d,degree,standard,none
male,group e,associate's degree,standard,completed,66,63,64,64.33333333333333,D,pass,standard,3,101.0,617.5,615.0,m,e,degree,standard,comp
female,group b,associate's degree,free/reduced,none,52,76,70,66.0,D,fail,free,24,96.0,568.5,564.0,f,b,degree,free,none
female,group b,some high school,standard,none,70,64,72,68.66666666666667,D,pass,standard,8,88.0,492.5,488.0,f,b,school,standard,none
female,group d,associate's degree,free/reduced,completed,77,89,98,88.0,B,pass,free,21,30.0,74.5,74.0,f,d,degree,free,comp
male,group c,high school,standard,none,62,55,49,55.333333333333336,F,pass,standard,13,128.0,805.0,803.0,m,c,school,standard,none
male,group a,associate's degree,standard,none,54,53,47,51.333333333333336,F,fail,standard,7,140.0,872.5,870.0,m,a,degree,standard,none
female,group d,some college,standard,none,51,58,54,54.333333333333336,F,fail,standard,7,131.0,821.0,819.0,f,d,college,standard,none
female,group e,bachelor's degree,standard,completed,99,100,100,99.66666666666667,A,pass,standard,1,2.0,4.0,4.0,f,e,degree,standard,comp
male,group c,high school,standard,none,84,77,74,78.33333333333333,C,pass,standard,10,59.0,235.0,232.0,m,c,school,standard,none
female,group b,bachelor's degree,free/reduced,none,75,85,82,80.66666666666667,B,pass,free,10,52.0,183.0,181.0,f,b,degree,free,none
female,group d,bachelor's degree,standard,none,78,82,79,79.66666666666667,C,pass,standard,4,55.0,202.5,200.0,f,d,degree,standard,none
female,group d,some high school,standard,none,51,63,61,58.333333333333336,F,fail,standard,12,119.0,749.0,747.0,f,d,school,standard,none
female,group c,some college,standard,none,55,69,65,63.0,D,fail,standard,14,105.0,649.0,647.0,f,c,college,standard,none
female,group c,bachelor's degree,standard,completed,79,92,89,86.66666666666667,B,pass,standard,13,34.0,90.5,89.0,f,c,degree,standard,comp
male,group b,associate's degree,standard,completed,91,89,92,90.66666666666667,A,pass,standard,3,22.0,47.0,47.0,m,b,degree,standard,comp
female,group c,some college,standard,completed,88,93,93,91.33333333333333,A,pass,standard,5,20.0,44.0,44.0,f,c,college,standard,comp
male,group d,high school,free/reduced,none,63,57,56,58.666666666666664,F,pass,free,7,118.0,740.0,739.0,m,d,school,free,none
male,group e,some college,standard,none,83,80,73,78.66666666666667,C,pass,standard,10,58.0,226.0,222.0,m,e,college,standard,none
female,group b,high school,standard,none,87,95,86,89.33333333333333,B,pass,standard,9,26.0,56.5,55.0,f,b,school,standard,none
male,group b,some high school,standard,none,72,68,67,69.0,D,pass,standard,5,87.0,480.5,478.0,m,b,school,standard,none
male,group d,some college,standard,completed,65,77,74,72.0,C,pass,standard,12,78.0,399.0,397.0,m,d,college,standard,comp
male,group d,master's degree,standard,none,82,82,74,79.33333333333333,C,pass,standard,8,56.0,210.5,208.0,m,d,degree,standard,none
female,group a,bachelor's degree,standard,none,51,49,51,50.333333333333336,F,fail,standard,2,143.0,887.5,887.0,f,a,degree,standard,none
male,group d,master's degree,standard,none,89,84,82,85.0,B,pass,standard,7,39.0,114.5,113.0,m,d,degree,standard,none
male,group c,some high school,free/reduced,completed,53,37,40,43.333333333333336,F,fail,free,16,164.0,957.5,956.0,m,c,school,free,comp
male,group e,some college,free/reduced,completed,87,74,70,77.0,C,pass,free,17,63.0,272.5,269.0,m,e,college,free,comp
female,group c,some college,standard,completed,75,81,84,80.0,C,pass,standard,9,54.0,196.5,195.0,f,c,college,standard,comp
male,group d,bachelor's degree,free/reduced,completed,74,79,75,76.0,C,pass,free,5,66.0,292.0,288.0,m,d,degree,free,comp
male,group c,bachelor's degree,standard,none,58,55,48,53.666666666666664,F,fail,standard,10,133.0,833.0,831.0,m,c,degree,standard,none
male,group b,some high school,standard,completed,51,54,41,48.666666666666664,F,fail,standard,13,148.0,912.5,912.0,m,b,school,standard,comp
male,group e,high school,standard,none,70,55,56,60.333333333333336,D,pass,standard,15,113.0,703.5,701.0,m,e,school,standard,none
female,group c,associate's degree,standard,none,59,66,67,64.0,D,fail,standard,8,102.0,627.0,624.0,f,c,degree,standard,none
male,group d,some college,standard,completed,71,61,69,67.0,D,pass,standard,10,93.0,544.0,540.0,m,d,college,standard,comp
female,group d,some high school,standard,none,76,72,71,73.0,C,pass,standard,5,75.0,372.5,369.0,f,d,school,standard,none
female,group c,some college,free/reduced,none,59,62,64,61.666666666666664,D,fail,free,5,109.0,674.0,671.0,f,c,college,free,none
female,group e,some college,free/reduced,completed,42,55,54,50.333333333333336,F,fail,free,13,143.0,887.5,888.0,f,e,college,free,comp
male,group a,high school,standard,none,57,43,47,49.0,F,fail,standard,14,147.0,907.5,905.0,m,a,school,standard,none
male,group d,some college,standard,none,88,73,78,79.66666666666667,C,pass,standard,15,55.0,202.5,201.0,m,d,college,standard,none
female,group c,some college,free/reduced,none,22,39,33,31.333333333333332,F,fail,free,17,184.0,988.0,988.0,f,c,college,free,none
male,group b,some high school,standard,none,88,84,75,82.33333333333333,B,pass,standard,13,47.0,160.0,157.0,m,b,school,standard,none
male,group c,associate's degree,free/reduced,none,73,68,66,69.0,D,pass,free,7,87.0,480.5,479.0,m,c,degree,free,none
female,group d,bachelor's degree,standard,completed,68,75,81,74.66666666666667,C,pass,standard,13,70.0,328.5,325.0,f,d,degree,standard,comp
male,group e,associate's degree,free/reduced,completed,100,100,93,97.66666666666667,A,pass,free,7,5.0,10.0,9.0,m,e,degree,free,comp
male,group a,some high school,standard,completed,62,67,69,66.0,D,pass,standard,7,96.0,568.5,565.0,m,a,school,standard,comp
male,group a,bachelor's degree,standard,none,77,67,68,70.66666666666667,C,pass,standard,10,82.0,437.0,435.0,m,a,degree,standard,none
female,group b,associate's degree,standard,completed,59,70,66,65.0,D,fail,standard,11,99.0,597.0,595.0,f,b,degree,standard,comp
male,group d,bachelor's degree,standard,none,54,49,47,50.0,F,fail,standard,7,144.0,894.5,892.0,m,d,degree,standard,none
male,group d,some high school,standard,none,62,67,61,63.333333333333336,D,pass,standard,6,104.0,643.0,642.0,m,d,school,standard,none
female,group c,some college,standard,completed,70,89,88,82.33333333333333,B,pass,standard,19,47.0,160.0,158.0,f,c,college,standard,comp
female,group e,high school,free/reduced,completed,66,74,78,72.66666666666667,C,pass,free,12,76.0,383.5,380.0,f,e,school,free,comp
male,group b,some college,free/reduced,none,60,60,60,60.0,F,pass,free,0,114.0,711.5,708.0,m,b,college,free,none
female,group b,associate's degree,standard,completed,61,86,87,78.0,C,pass,standard,26,60.0,244.5,240.0,f,b,degree,standard,comp
male,group d,associate's degree,free/reduced,none,66,62,64,64.0,D,pass,free,4,102.0,627.0,625.0,m,d,degree,free,none
male,group b,associate's degree,free/reduced,completed,82,78,74,78.0,C,pass,free,8,60.0,244.5,241.0,m,b,degree,free,comp
female,group e,some college,free/reduced,completed,75,88,85,82.66666666666667,B,pass,free,13,46.0,151.5,150.0,f,e,college,free,comp
male,group b,master's degree,free/reduced,none,49,53,52,51.333333333333336,F,fail,free,4,140.0,872.5,871.0,m,b,degree,free,none
male,group c,high school,standard,none,52,53,49,51.333333333333336,F,fail,standard,4,140.0,872.5,872.0,m,c,school,standard,none
female,group e,master's degree,standard,none,81,92,91,88.0,B,pass,standard,11,30.0,74.5,75.0,f,e,degree,standard,none
female,group c,bachelor's degree,standard,completed,96,100,100,98.66666666666667,A,pass,standard,4,4.0,7.5,7.0,f,c,degree,standard,comp
male,group c,high school,free/reduced,completed,53,51,51,51.666666666666664,F,fail,free,2,139.0,864.5,860.0,m,c,school,free,comp
female,group b,master's degree,free/reduced,completed,58,76,78,70.66666666666667,C,fail,free,20,82.0,437.0,436.0,f,b,degree,free,comp
female,group b,high school,standard,completed,68,83,78,76.33333333333333,C,pass,standard,15,65.0,284.5,283.0,f,b,school,standard,comp
female,group c,some college,free/reduced,completed,67,75,70,70.66666666666667,C,pass,free,8,82.0,437.0,437.0,f,c,college,free,comp
male,group a,high school,standard,completed,72,73,74,73.0,C,pass,standard,2,75.0,372.5,370.0,m,a,school,standard,comp
male,group e,some high school,standard,none,94,88,78,86.66666666666667,B,pass,standard,16,34.0,90.5,90.0,m,e,school,standard,none
female,group d,some college,standard,none,79,86,81,82.0,B,pass,standard,7,48.0,167.0,166.0,f,d,college,standard,none
female,group c,associate's degree,standard,none,63,67,70,66.66666666666667,D,pass,standard,7,94.0,552.5,549.0,f,c,degree,standard,none
female,group c,bachelor's degree,free/reduced,completed,43,51,54,49.333333333333336,F,fail,free,11,146.0,902.5,903.0,f,c,degree,free,comp
female,group c,master's degree,standard,completed,81,91,87,86.33333333333333,B,pass,standard,10,35.0,95.5,93.0,f,c,degree,standard,comp
female,group b,high school,free/reduced,completed,46,54,58,52.666666666666664,F,fail,free,12,136.0,846.0,843.0,f,b,school,free,comp
female,group c,associate's degree,standard,completed,71,77,77,75.0,C,pass,standard,6,69.0,319.0,316.0,f,c,degree,standard,comp
female,group b,master's degree,free/reduced,completed,52,70,62,61.333333333333336,D,fail,free,18,110.0,682.0,678.0,f,b,degree,free,comp
female,group d,some high school,standard,completed,97,100,100,99.0,A,pass,standard,3,3.0,5.5,5.0,f,d,school,standard,comp
male,group c,master's degree,free/reduced,completed,62,68,75,68.33333333333333,D,pass,free,13,89.0,505.0,501.0,m,c,degree,free,comp
female,group c,some college,free/reduced,none,46,64,66,58.666666666666664,F,fail,free,20,118.0,740.0,740.0,f,c,college,free,none
female,group e,high school,standard,none,50,50,47,49.0,F,fail,standard,3,147.0,907.5,906.0,f,e,school,standard,none
female,group d,associate's degree,standard,none,65,69,70,68.0,D,pass,standard,5,90.0,519.0,512.0,f,d,degree,standard,none
male,group c,some high school,free/reduced,completed,45,52,49,48.666666666666664,F,fail,free,7,148.0,912.5,913.0,m,c,school,free,comp
male,group c,associate's degree,free/reduced,completed,65,67,65,65.66666666666667,D,pass,free,2,97.0,579.5,577.0,m,c,degree,free,comp
male,group e,high school,standard,none,80,76,65,73.66666666666667,C,pass,standard,15,73.0,353.0,352.0,m,e,school,standard,none
male,group d,some high school,standard,completed,62,66,68,65.33333333333333,D,pass,standard,6,98.0,588.0,584.0,m,d,school,standard,comp
male,group b,some high school,free/reduced,none,48,52,45,48.333333333333336,F,fail,free,7,149.0,917.5,915.0,m,b,school,free,none
female,group c,bachelor's degree,standard,none,77,88,87,84.0,B,pass,standard,11,42.0,126.5,123.0,f,c,degree,standard,none
female,group e,associate's degree,standard,none,66,65,69,66.66666666666667,D,pass,standard,4,94.0,552.5,550.0,f,e,degree,standard,none
male,group d,some college,standard,completed,76,83,79,79.33333333333333,C,pass,standard,7,56.0,210.5,209.0,m,d,college,standard,comp
female,group b,some high school,standard,none,62,64,66,64.0,D,pass,standard,4,102.0,627.0,626.0,f,b,school,standard,none
male,group d,some college,standard,completed,77,62,62,67.0,D,pass,standard,15,93.0,544.0,541.0,m,d,college,standard,comp
female,group c,master's degree,standard,completed,69,84,85,79.33333333333333,C,pass,standard,16,56.0,210.5,210.0,f,c,degree,standard,comp
male,group d,associate's degree,standard,none,61,55,52,56.0,F,pass,standard,9,126.0,790.5,786.0,m,d,degree,standard,none
male,group c,some high school,free/reduced,completed,59,69,65,64.33333333333333,D,fail,free,10,101.0,617.5,616.0,m,c,school,free,comp
male,group e,high school,free/reduced,none,55,56,51,54.0,F,fail,free,5,132.0,826.5,824.0,m,e,school,free,none
female,group b,some college,free/reduced,none,45,53,55,51.0,F,fail,free,10,141.0,878.0,876.0,f,b,college,free,none
female,group b,bachelor's degree,free/reduced,none,78,79,76,77.66666666666667,C,pass,free,3,61.0,252.0,250.0,f,b,degree,free,none
female,group c,associate's degree,standard,completed,67,84,86,79.0,C,pass,standard,19,57.0,218.0,215.0,f,c,degree,standard,comp
female,group d,some college,free/reduced,none,65,81,77,74.33333333333333,C,pass,free,16,71.0,338.5,333.0,f,d,college,free,none
male,group c,associate's degree,standard,none,69,77,69,71.66666666666667,C,pass,standard,8,79.0,407.5,405.0,m,c,degree,standard,none
female,group b,associate's degree,standard,none,57,69,68,64.66666666666667,D,fail,standard,12,100.0,607.0,604.0,f,b,degree,standard,none
male,group c,some college,standard,none,59,41,42,47.333333333333336,F,fail,standard,18,152.0,927.5,927.0,m,c,college,standard,none
male,group d,some high school,standard,completed,74,71,78,74.33333333333333,C,pass,standard,7,71.0,338.5,334.0,m,d,school,standard,comp
male,group e,bachelor's degree,standard,none,82,62,62,68.66666666666667,D,pass,standard,20,88.0,492.5,489.0,m,e,degree,standard,none
male,group e,high school,standard,completed,81,80,76,79.0,C,pass,standard,5,57.0,218.0,216.0,m,e,school,standard,comp
female,group b,some college,free/reduced,none,74,81,76,77.0,C,pass,free,7,63.0,272.5,270.0,f,b,college,free,none
female,group b,some college,free/reduced,none,58,61,66,61.666666666666664,D,fail,free,8,109.0,674.0,672.0,f,b,college,free,none
male,group d,some high school,free/reduced,completed,80,79,79,79.33333333333333,C,pass,free,1,56.0,210.5,211.0,m,d,school,free,comp
male,group c,some college,free/reduced,none,35,28,27,30.0,F,fail,free,8,187.0,991.0,991.0,m,c,college,free,none
female,group c,high school,free/reduced,none,42,62,60,54.666666666666664,F,fail,free,20,130.0,814.0,811.0,f,c,school,free,none
male,group c,associate's degree,free/reduced,completed,60,51,56,55.666666666666664,F,pass,free,9,127.0,799.0,796.0,m,c,degree,free,comp
male,group e,high school,standard,completed,87,91,81,86.33333333333333,B,pass,standard,10,35.0,95.5,94.0,m,e,school,standard,comp
male,group b,some high school,standard,completed,84,83,75,80.66666666666667,B,pass,standard,9,52.0,183.0,182.0,m,b,school,standard,comp
female,group e,associate's degree,free/reduced,completed,83,86,88,85.66666666666667,B,pass,free,5,37.0,105.5,104.0,f,e,degree,free,comp
female,group c,high school,free/reduced,none,34,42,39,38.333333333333336,F,fail,free,8,176.0,978.5,979.0,f,c,school,free,none
male,group b,high school,free/reduced,none,66,77,70,71.0,C,pass,free,11,81.0,429.0,426.0,m,b,school,free,none
male,group b,some high school,standard,completed,61,56,56,57.666666666666664,F,pass,standard,5,121.0,759.5,758.0,m,b,school,standard,comp
female,group d,high school,standard,completed,56,68,74,66.0,D,fail,standard,18,96.0,568.5,566.0,f,d,school,standard,comp
male,group b,associate's degree,standard,none,87,85,73,81.66666666666667,B,pass,standard,14,49.0,170.5,169.0,m,b,degree,standard,none
female,group c,some high school,free/reduced,none,55,65,62,60.666666666666664,D,fail,free,10,112.0,696.0,694.0,f,c,school,free,none
